TAG,SP,Species Group,XCO,YCO,D86,D90,D95,D00,D05,D10
1677,SHORL2,Sal,102.3117496,2.985385439,1.0,1.9,0.0,0.0,0.0,0.0
1678,XERONO,Pulai,102.3117396,2.985385614,2.0,2.4,3.0,3.7,4.8,5.3
1679,SHORBR,Sal,102.3117469,2.985385241,1.0,2.5,3.0,3.3,4.3,4.5
1680,ANAXJA,Pulai,102.3117428,2.985391291,4.5,4.6,4.6,4.6,4.8,4.9
1681,SHORBR,Sal,102.3117492,2.985390851,1.0,0.0,0.0,0.0,0.0,0.0
1682,ANAXJA,Pulai,102.3117532,2.985397496,3.0,3.9,4.2,4.2,4.8,4.5
1683,PAVES1,Pulai,102.3116565,2.985362485,1.5,1.5,1.8,1.6,1.8,0.0
1684,SHORM2,Sal,102.3117638,2.985400996,7.0,7.1,7.7,7.3,7.3,7.8
1685,TARES8,Pulai,102.3117727,2.985402559,1.0,1.0,1.0,0.0,0.0,0.0
1686,HORSS2,Pulai,102.3117752,2.985404562,3.5,0.0,0.0,0.0,0.0,0.0
1687,DIOSSC,Pulai,102.3117808,2.985403154,1.0,1.2,1.3,1.3,1.7,1.5
1688,PAYELU,Pulai,102.3117821,2.985384212,2.0,0.0,0.0,0.0,0.0,0.0
1689,SHORP2,Sal,102.311783,2.985372486,1.5,0.0,0.0,0.0,0.0,0.0
1690,DURIGR,Pulai,102.3117809,2.985388656,1.0,1.1,1.7,1.9,2.2,2.1
1691,ANAXJA,Pulai,102.3117681,2.985365949,3.0,0.0,0.0,0.0,0.0,0.0
1692,BACCM2,Pulai,102.3117748,2.985361,1.5,2.3,2.3,2.8,2.6,2.5
1693,LITHCU,Pulai,102.3117546,2.985316885,2.0,2.7,0.0,0.0,0.0,0.0
1694,SHORM2,Sal,102.3117449,2.985326146,12.1,13.1,13.8,15.5,18.7,18.4
1695,ARDICR,Pulai,102.3117548,2.985325972,1.0,0.0,0.0,0.0,0.0,0.0
1696,SHORM1,Sal,102.3117443,2.985333363,1.0,1.7,1.6,1.9,2.1,1.5
1697,ARDICR,Pulai,102.3117573,2.985353363,1.5,1.7,1.7,0.0,0.0,0.0
1698,RINOAN,Pulai,102.311759,2.985355299,6.0,6.1,8.3,6.3,6.3,7.8
1699,ANAXJA,Pulai,102.311651,2.985314918,3.0,3.2,3.5,3.5,3.7,0.0
1700,SINDCO,Pulai,102.31178,2.98535231,1.5,0.0,1.8,1.9,2.5,2.1
1701,CALODI,Pulai,102.3117788,2.985343158,5.0,5.2,0.0,0.0,0.0,0.0
1703,PAYELU,Pulai,102.3117836,2.985338978,1.0,0.0,0.0,0.0,0.0,0.0
1704,SHOROC,Sal,102.3117831,2.985334402,1.5,1.8,2.0,0.0,0.0,0.0
1705,RINOAN,Pulai,102.3117863,2.985339177,1.5,1.8,2.2,2.0,2.5,2.4
1706,MESUFE,Pulai,102.3117794,2.985322345,14.6,15.1,16.5,17.2,18.9,19.6
1707,GIRONE,Alder,102.3116624,2.985282204,6.4,6.5,7.0,6.6,6.6,0.0
1708,DRA1SL,Pulai,102.3117704,2.985322586,1.0,1.4,1.8,2.2,2.7,2.7
1709,MACALO,Alder,102.3115973,2.985494828,2.5,2.7,2.8,3.2,3.3,0.0
1710,SHORAC,Sal,102.3116009,2.985495092,1.5,2.7,3.0,2.7,0.0,0.0
1711,TABECO,Pulai,102.311612,2.985491376,7.0,6.1,6.4,0.0,0.0,3.2
1712,APH1SU,Pulai,102.3116078,2.985486535,1.0,1.5,1.8,1.9,1.8,0.0
1713,SHORM1,Sal,102.3116091,2.985493883,2.5,0.0,0.0,0.0,0.0,0.0
1714,DURIGR,Pulai,102.3116092,2.985492079,5.9,6.0,6.6,7.2,7.8,8.7
1715,CINNIN,Pulai,102.3116046,2.985505345,1.0,1.5,2.0,2.3,3.2,4.1
1716,KNEMSC,Pulai,102.3116041,2.985512561,2.0,2.7,2.8,3.2,3.7,3.9
1717,SHOROC,Sal,102.3115991,2.985519447,1.0,1.2,1.4,1.7,0.0,0.0
1718,NAUCOF,Pulai,102.3116164,2.985528888,2.5,2.7,2.8,2.8,0.0,0.0
1719,MESUFE,Pulai,102.3116136,2.985517799,3.5,4.1,4.1,5.2,5.2,5.3
1720,DIPTCR,Sal,102.3116144,2.985506975,1.0,1.8,2.0,2.2,1.4,1.9
1721,MEL1FU,Pulai,102.3116296,2.985521695,1.0,0.0,0.0,0.0,0.0,0.0
1722,LITHRA,Pulai,102.3116349,2.985522994,1.0,0.0,0.0,0.0,0.0,0.0
1723,SHORM1,Sal,102.3115245,2.985478806,2.0,3.7,0.0,0.0,0.0,0.0
1724,ELAENI,Alder,102.3116302,2.985513577,3.0,3.2,2.5,0.0,0.0,0.0
1725,SHORP2,Sal,102.3116294,2.985511707,9.0,9.4,0.0,0.0,0.0,0.0
1726,MEL1FU,Pulai,102.3116323,2.985509199,1.0,1.2,1.8,0.0,0.0,0.0
1727,MEL1FU,Pulai,102.3116291,2.985503523,1.0,1.1,1.2,0.0,0.0,0.0
1728,MEL1FU,Pulai,102.3116309,2.98549096,1.5,1.9,2.1,2.2,2.4,2.7
1729,SHOROC,Sal,102.3116255,2.985490564,1.0,1.1,1.2,0.0,0.0,0.0
1730,SHOROC,Sal,102.3115118,2.985454296,1.0,2.0,2.2,0.0,0.0,0.0
1731,MACALO,Alder,102.3116222,2.985487593,2.0,2.1,2.8,3.1,3.4,0.0
1732,NEPHCO,Pulai,102.3116008,2.985533176,1.5,2.3,2.5,2.3,2.3,2.4
1733,XERONO,Pulai,102.3115989,2.985533946,1.5,2.0,2.0,2.0,2.4,2.4
1734,DIOSSC,Pulai,102.3116002,2.985541294,1.0,1.6,1.7,1.7,1.7,0.0
1735,ROTHMA,Pulai,102.3116107,2.985533001,1.0,1.3,1.3,1.1,0.0,0.0
1736,HORSS2,Pulai,102.3115988,2.985547542,1.5,2.1,2.2,2.2,2.3,0.0
1737,DIPTCR,Sal,102.3115988,2.985548444,1.0,1.3,1.5,1.3,1.4,1.6
1738,SHORP2,Sal,102.3115961,2.985547344,4.0,6.0,6.1,6.5,0.0,0.0
1739,MEL1FU,Pulai,102.3115937,2.985544439,1.0,1.1,1.2,1.6,1.7,3.2
1740,DACRLA,Pulai,102.3115935,2.985547145,4.5,5.4,6.0,7.2,7.6,9.2
1741,ANAXJA,Pulai,102.3115943,2.985559906,2.0,2.5,2.1,2.2,2.3,2.9
1742,CANAPI,Pulai,102.3115916,2.98556061,3.0,4.3,5.1,5.1,5.1,5.7
1743,RINOAN,Pulai,102.3115934,2.985572534,2.0,2.6,2.4,2.5,2.8,2.9
